city,lat,lon,url
Calgary,51.05,-114.09,https://weather.gc.ca/city/pages/ab-52_metric_e.html
Edmonton,53.55,-113.49,https://weather.gc.ca/city/pages/ab-50_metric_e.html
Banff,51.18,-115.57,https://weather.gc.ca/city/pages/ab-49_metric_e.html
Nordegg,52.47,-116.08,https://weather.gc.ca/city/pages/ab-38_metric_e.html
Jasper,52.57,-118.08,https://weather.gc.ca/city/pages/ab-70_metric_e.html
Drumheller,51.46,-112.71,https://weather.gc.ca/city/pages/ab-62_metric_e.html
Lethbridge,49.70,-112.85,https://weather.gc.ca/city/pages/ab-30_metric_e.html
Peace River,56.23,-117.33,https://weather.gc.ca/city/pages/ab-25_metric_e.html
Grande Prairie,55.17,-118.79,https://weather.gc.ca/city/pages/ab-31_metric_e.html
Athabasca,54.72, 113.29,https://weather.gc.ca/city/pages/ab-10_metric_e.html
Cold Lake,54.45, 110.17,https://weather.gc.ca/city/pages/ab-23_metric_e.html
Invermere,50.51,-116.03,https://weather.gc.ca/city/pages/bc-72_metric_e.html
Cranbrook,49.51,-115.77,https://weather.gc.ca/city/pages/bc-77_metric_e.html
Sparwood,49.73,-114.88,https://weather.gc.ca/city/pages/bc-52_metric_e.html
Kamlooops,50.67,-120.33,https://weather.gc.ca/city/pages/bc-45_metric_e.html
Kelowna,48.89, -119.50, https://weather.gc.ca/city/pages/bc-48_metric_e.html
Penticton,49.50,-119.59,https://weather.gc.ca/city/pages/bc-84_metric_e.html
Osoyoos, 49.03,-119.47,https://weather.gc.ca/city/pages/bc-69_metric_e.html
Castlegar,49.32,-117.66,https://weather.gc.ca/city/pages/bc-21_metric_e.html 
Revelstoke,51.00, -118.20, https://weather.gc.ca/city/pages/bc-65_metric_e.html
Valemount,52.83, -119.26, https://weather.gc.ca/city/pages/bc-13_metric_e.html
Golden, 51.30,-116.96,https://weather.gc.ca/city/pages/bc-34_metric_e.html
Prince Rupert, 54.32, -130.32, https://weather.gc.ca/city/pages/bc-57_metric_e.html
Nelson, 49.49,-117.29, https://weather.gc.ca/city/pages/bc-37_metric_e.html
Vancouver,49.28,-123.12, https://weather.gc.ca/city/pages/bc-74_metric_e.html
Victoria, 48.43, 123.37, https://weather.gc.ca/city/pages/bc-74_metric_e.html
Prince George, 53.92,-122.75, https://weather.gc.ca/city/pages/bc-79_metric_e.html
